location_code,id
A01-1L,83002
A01-2L,83003
A01-3L,83004
A01-4L,83005
A01-1R,83006
A01-2R,83007
A01-3R,83008
A01-4R,83009
A02-1L,83010
A02-2L,83011
A02-3L,83012
A02-4L,83013
A02-1R,83014
A02-2R,83015
A02-3R,83016
A02-4R,83017
A03-1L,83018
A03-2L,83019
A03-3L,83020
A03-4L,83021
A03-1R,83022
A03-2R,83023
A03-3R,83024
A03-4R,83025
A04-1L,83026
A04-2L,83027
A04-3L,83028
A04-4L,83029
A04-1R,83030
A04-2R,83031
A04-3R,83032
A04-4R,83033
A05-1L,83034
A05-2L,83035
A05-3L,83036
A05-4L,83037
A05-1R,83038
A05-2R,83039
A05-3R,83040
A05-4R,83041
A06-1L,83042
A06-2L,83043
A06-3L,83044
A06-4L,83045
A06-1R,83046
A06-2R,83047
A06-3R,83048
A06-4R,83049
A07-1L,83050
A07-2L,83051
A07-3L,83052
A07-4L,83053
A07-1R,83054
A07-2R,83055
A07-3R,83056
A07-4R,83057
A08-1L,83058
A08-2L,83059
A08-3L,83060
A08-4L,83061
A08-1R,83062
A08-2R,83063
A08-3R,83064
A08-4R,83065
A09-1L,83066
A09-2L,83067
A09-3L,83068
A09-4L,83069
A09-1R,83070
A09-2R,83071
A09-3R,83072
A09-4R,83073
A10-1L,83074
A10-2L,83075
A10-3L,83076
A10-4L,83077
A10-1R,83078
A10-2R,83079
A10-3R,83080
A10-4R,83081
A11-1L,83082
A11-2L,83083
A11-3L,83084
A11-4L,83085
A11-1R,83086
A11-2R,83087
A11-3R,83088
A11-4R,83089
A12-1L,83090
A12-2L,83091
A12-3L,83092
A12-4L,83093
A12-1R,83094
A12-2R,83095
A12-3R,83096
A12-4R,83097
B01-1L,83098
B01-2L,83099
B01-3L,83100
B01-4L,83101
B01-1R,83102
B01-2R,83103
B01-3R,83104
B01-4R,83105
B02-1L,83106
B02-2L,83107
B02-3L,83108
B02-4L,83109
B02-1R,83110
B02-2R,83111
B02-3R,83112
B02-4R,83113
B03-1L,83114
B03-2L,83115
B03-3L,83116
B03-4L,83117
B03-1R,83118
B03-2R,83119
B03-3R,83120
B03-4R,83121
B04-1L,83122
B04-2L,83123
B04-3L,83124
B04-4L,83125
B04-1R,83126
B04-2R,83127
B04-3R,83128
B04-4R,83129
B05-1L,83130
B05-2L,83131
B05-3L,83132
B05-4L,83133
B05-1R,83134
B05-2R,83135
B05-3R,83136
B05-4R,83137
B06-1L,83138
B06-2L,83139
B06-3L,83140
B06-4L,83141
B06-1R,83142
B06-2R,83143
B06-3R,83144
B06-4R,83145
B07-1L,83146
B07-2L,83147
B07-3L,83148
B07-4L,83149
B07-1R,83150
B07-2R,83151
B07-3R,83152
B07-4R,83153
B08-1L,83154
B08-2L,83155
B08-3L,83156
B08-4L,83157
B08-1R,83158
B08-2R,83159
B08-3R,83160
B08-4R,83161
B09-1L,83162
B09-2L,83163
B09-3L,83164
B09-4L,83165
B09-1R,83166
B09-2R,83167
B09-3R,83168
B09-4R,83169
B10-1L,83170
B10-2L,83171
B10-3L,83172
B10-4L,83173
B10-1R,83174
B10-2R,83175
B10-3R,83176
B10-4R,83177
B11-1L,83178
B11-2L,83179
B11-3L,83180
B11-4L,83181
B11-1R,83182
B11-2R,83183
B11-3R,83184
B11-4R,83185
B12-1L,83186
B12-2L,83187
B12-3L,83188
B12-4L,83189
B12-1R,83190
B12-2R,83191
B12-3R,83192
B12-4R,83193
B13-1L,83194
B13-2L,83195
B13-3L,83196
B13-4L,83197
B13-1R,83198
B13-2R,83199
B13-3R,83200
B13-4R,83201
B14-1L,83202
B14-2L,83203
B14-3L,83204
B14-4L,83205
B14-1R,83206
B14-2R,83207
B14-3R,83208
B14-4R,83209
B15-1L,83210
B15-2L,83211
B15-3L,83212
B15-4L,83213
B15-1R,83214
B15-2R,83215
B15-3R,83216
B15-4R,83217
B16-1L,83218
B16-2L,83219
B16-3L,83220
B16-4L,83221
B16-1R,83222
B16-2R,83223
B16-3R,83224
B16-4R,83225
B17-1L,83226
B17-2L,83227
B17-3L,83228
B17-4L,83229
B17-1R,83230
B17-2R,83231
B17-3R,83232
B17-4R,83233
B18-1L,83234
B18-2L,83235
B18-3L,83236
B18-4L,83237
B18-1R,83238
B18-2R,83239
B18-3R,83240
B18-4R,83241
B19-1L,83242
B19-2L,83243
B19-3L,83244
B19-4L,83245
B19-1R,83246
B19-2R,83247
B19-3R,83248
B19-4R,83249
B20-1L,83250
B20-2L,83251
B20-3L,83252
B20-4L,83253
B20-1R,83254
B20-2R,83255
B20-3R,83256
B20-4R,83257
C01-1L,83258
C01-2L,83259
C01-3L,83260
C01-4L,83261
C01-1R,83262
C01-2R,83263
C01-3R,83264
C01-4R,83265
C02-1L,83266
C02-2L,83267
C02-3L,83268
C02-4L,83269
C02-1R,83270
C02-2R,83271
C02-3R,83272
C02-4R,83273
C03-1L,83274
C03-2L,83275
C03-3L,83276
C03-4L,83277
C03-1R,83278
C03-2R,83279
C03-3R,83280
C03-4R,83281
C04-1L,83282
C04-2L,83283
C04-3L,83284
C04-4L,83285
C04-1R,83286
C04-2R,83287
C04-3R,83288
C04-4R,83289
C05-1L,83290
C05-2L,83291
C05-3L,83292
C05-4L,83293
C05-1R,83294
C05-2R,83295
C05-3R,83296
C05-4R,83297
C06-1L,83298
C06-2L,83299
C06-3L,83300
C06-4L,83301
C06-1R,83302
C06-2R,83303
C06-3R,83304
C06-4R,83305
C07-1L,83306
C07-2L,83307
C07-3L,83308
C07-4L,83309
C07-1R,83310
C07-2R,83311
C07-3R,83312
C07-4R,83313
C08-1L,83314
C08-2L,83315
C08-3L,83316
C08-4L,83317
C08-1R,83318
C08-2R,83319
C08-3R,83320
C08-4R,83321
C09-1L,83322
C09-2L,83323
C09-3L,83324
C09-4L,83325
C09-1R,83326
C09-2R,83327
C09-3R,83328
C09-4R,83329
C10-1L,83330
C10-2L,83331
C10-3L,83332
C10-4L,83333
C10-1R,83334
C10-2R,83335
C10-3R,83336
C10-4R,83337
C11-1L,83338
C11-2L,83339
C11-3L,83340
C11-4L,83341
C11-1R,83342
C11-2R,83343
C11-3R,83344
C11-4R,83345
C12-1L,83346
C12-2L,83347
C12-3L,83348
C12-4L,83349
C12-1R,83350
C12-2R,83351
C12-3R,83352
C12-4R,83353
C13-1L,83354
C13-2L,83355
C13-3L,83356
C13-4L,83357
C13-1R,83358
C13-2R,83359
C13-3R,83360
C13-4R,83361
C14-1L,83362
C14-2L,83363
C14-3L,83364
C14-4L,83365
C14-1R,83366
C14-2R,83367
C14-3R,83368
C14-4R,83369
C15-1L,83370
C15-2L,83371
C15-3L,83372
C15-4L,83373
C15-1R,83374
C15-2R,83375
C15-3R,83376
C15-4R,83377
C16-1L,83378
C16-2L,83379
C16-3L,83380
C16-4L,83381
C16-1R,83382
C16-2R,83383
C16-3R,83384
C16-4R,83385
C17-1L,83386
C17-2L,83387
C17-3L,83388
C17-4L,83389
C17-1R,83390
C17-2R,83391
C17-3R,83392
C17-4R,83393
C18-1L,83394
C18-2L,83395
C18-3L,83396
C18-4L,83397
C18-1R,83398
C18-2R,83399
C18-3R,83400
C18-4R,83401
C19-1L,83402
C19-2L,83403
C19-3L,83404
C19-4L,83405
C19-1R,83406
C19-2R,83407
C19-3R,83408
C19-4R,83409
C20-1L,83410
C20-2L,83411
C20-3L,83412
C20-4L,83413
C20-1R,83414
C20-2R,83415
C20-3R,83416
C20-4R,83417
D01-1L,83418
D01-2L,83419
D01-3L,83420
D01-4L,83421
D01-1R,83422
D01-2R,83423
D01-3R,83424
D01-4R,83425
D02-1L,83426
D02-2L,83427
D02-3L,83428
D02-4L,83429
D02-1R,83430
D02-2R,83431
D02-3R,83432
D02-4R,83433
D03-1L,83434
D03-2L,83435
D03-3L,83436
D03-4L,83437
D03-1R,83438
D03-2R,83439
D03-3R,83440
D03-4R,83441
D04-1L,83442
D04-2L,83443
D04-3L,83444
D04-4L,83445
D04-1R,83446
D04-2R,83447
D04-3R,83448
D04-4R,83449
D05-1L,83450
D05-2L,83451
D05-3L,83452
D05-4L,83453
D05-1R,83454
D05-2R,83455
D05-3R,83456
D05-4R,83457
D06-1L,83458
D06-2L,83459
D06-3L,83460
D06-4L,83461
D06-1R,83462
D06-2R,83463
D06-3R,83464
D06-4R,83465
D07-1L,83466
D07-2L,83467
D07-3L,83468
D07-4L,83469
D07-1R,83470
D07-2R,83471
D07-3R,83472
D07-4R,83473
D08-1L,83474
D08-2L,83475
D08-3L,83476
D08-4L,83477
D08-1R,83478
D08-2R,83479
D08-3R,83480
D08-4R,83481
D09-1L,83482
D09-2L,83483
D09-3L,83484
D09-4L,83485
D09-1R,83486
D09-2R,83487
D09-3R,83488
D09-4R,83489
D10-1L,83490
D10-2L,83491
D10-3L,83492
D10-4L,83493
D10-1R,83494
D10-2R,83495
D10-3R,83496
D10-4R,83497
D11-1L,83498
D11-2L,83499
D11-3L,83500
D11-4L,83501
D11-1R,83502
D11-2R,83503
D11-3R,83504
D11-4R,83505
D12-1L,83506
D12-2L,83507
D12-3L,83508
D12-4L,83509
D12-1R,83510
D12-2R,83511
D12-3R,83512
D12-4R,83513
D13-1L,83514
D13-2L,83515
D13-3L,83516
D13-4L,83517
D13-1R,83518
D13-2R,83519
D13-3R,83520
D13-4R,83521
D14-1L,83522
D14-2L,83523
D14-3L,83524
D14-4L,83525
D14-1R,83526
D14-2R,83527
D14-3R,83528
D14-4R,83529
D15-1L,83530
D15-2L,83531
D15-3L,83532
D15-4L,83533
D15-1R,83534
D15-2R,83535
D15-3R,83536
D15-4R,83537
D16-1L,83538
D16-2L,83539
D16-3L,83540
D16-4L,83541
D16-1R,83542
D16-2R,83543
D16-3R,83544
D16-4R,83545
D17-1L,83546
D17-2L,83547
D17-3L,83548
D17-4L,83549
D17-1R,83550
D17-2R,83551
D17-3R,83552
D17-4R,83553
D18-1L,83554
D18-2L,83555
D18-3L,83556
D18-4L,83557
D18-1R,83558
D18-2R,83559
D18-3R,83560
D18-4R,83561
D19-1L,83562
D19-2L,83563
D19-3L,83564
D19-4L,83565
D19-1R,83566
D19-2R,83567
D19-3R,83568
D19-4R,83569
D20-1L,83570
D20-2L,83571
D20-3L,83572
D20-4L,83573
D20-1R,83574
D20-2R,83575
D20-3R,83576
D20-4R,83577
E01-1L,83578
E01-2L,83579
E01-3L,83580
E01-4L,83581
E01-1R,83582
E01-2R,83583
E01-3R,83584
E01-4R,83585
E02-1L,83586
E02-2L,83587
E02-3L,83588
E02-4L,83589
E02-1R,83590
E02-2R,83591
E02-3R,83592
E02-4R,83593
E03-1L,83594
E03-2L,83595
E03-3L,83596
E03-4L,83597
E03-1R,83598
E03-2R,83599
E03-3R,83600
E03-4R,83601
E04-1L,83602
E04-2L,83603
E04-3L,83604
E04-4L,83605
E04-1R,83606
E04-2R,83607
E04-3R,83608
E04-4R,83609
E05-1L,83610
E05-2L,83611
E05-3L,83612
E05-4L,83613
E05-1R,83614
E05-2R,83615
E05-3R,83616
E05-4R,83617
E06-1L,83618
E06-2L,83619
E06-3L,83620
E06-4L,83621
E06-1R,83622
E06-2R,83623
E06-3R,83624
E06-4R,83625
E07-1L,83626
E07-2L,83627
E07-3L,83628
E07-4L,83629
E07-1R,83630
E07-2R,83631
E07-3R,83632
E07-4R,83633
E08-1L,83634
E08-2L,83635
E08-3L,83636
E08-4L,83637
E08-1R,83638
E08-2R,83639
E08-3R,83640
E08-4R,83641
E09-1L,83642
E09-2L,83643
E09-3L,83644
E09-4L,83645
